url,title,img_url,year,rating,ratings_num,5_star,4_star,3_star,2_star,1_star,imdb_id
https://movie.douban.com/subject/26337155/,老腔,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2403047224.jpg,2014,5.2,657,2.20%,11.10%,42.70%,33.30%,0.107,
https://movie.douban.com/subject/26325320/,血战钢锯岭 Hacksaw Ridge,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2397337958.jpg,2016,8.7,260274,47.10%,41.10%,10.60%,0.90%,0.003,tt2119532
https://movie.douban.com/subject/26416603/,萨利机长 Sully,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2403319543.jpg,2016,8.3,118840,31.10%,53.90%,14.20%,0.60%,0.001,tt3263904
https://movie.douban.com/subject/26658568/,28岁未成年,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2402824160.jpg,2016,5.7,47436,5.50%,17.30%,42.10%,24.90%,0.103,tt5665040
https://movie.douban.com/subject/26586806/,塔洛,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2401749567.jpg,2015,7.7,6814,16.20%,55.80%,24.80%,2.60%,0.006,tt4923042
https://movie.douban.com/subject/26335572/,反黑行动组 Antigang,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2397920765.jpg,2015,5.3,1906,1.20%,8.10%,50.30%,33.70%,0.067,tt4232610
https://movie.douban.com/subject/26910800/,呆呆计划,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2403376386.jpg,2016,3.3,1016,1.60%,1.20%,15.40%,23.70%,0.581,
https://movie.douban.com/subject/26667083/,凄灵室,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2392442303.jpg,2016,3.6,732,1.20%,3.70%,14.70%,32.50%,0.479,
https://movie.douban.com/subject/26831272/,先锋之那时青春,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2401688672.jpg,2016,3.7,122,9.50%,4.80%,4.80%,23.80%,0.571,
https://movie.douban.com/subject/6982558/,长城 The Great Wall,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2394573821.jpg,2016,4.9,208742,5.80%,12.90%,32.00%,21.20%,0.282,tt2034800
https://movie.douban.com/subject/24751763/,罗曼蒂克消亡史,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2404553168.jpg,2016,7.7,162572,21.60%,47.40%,25.00%,4.60%,0.014,tt4623812
https://movie.douban.com/subject/26754643/,少年,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2403546172.jpg,2016,5.8,10218,3.90%,16.30%,48.70%,26.00%,0.051,tt6419442
https://movie.douban.com/subject/26910059/,我在故宫修文物,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2396361760.jpg,2016,7.4,16112,19.70%,39.40%,34.20%,5.20%,0.015,tt6448192
https://movie.douban.com/subject/26836588/,生门,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2399861515.jpg,2016,8.5,2207,40.40%,47.70%,10.60%,0.70%,0.006,tt6242504
https://movie.douban.com/subject/26866836/,五女闹京城,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2404683173.jpg,2016,2.9,182,2.90%,0.00%,8.60%,17.10%,0.714,
https://movie.douban.com/subject/26831514/,功夫四侠,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2404849428.jpg,2016,2.4,294,2.60%,0.00%,0.00%,7.70%,0.897,
https://movie.douban.com/subject/25911694/,摆渡人,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2390687452.jpg,2016,4,135549,4.60%,7.40%,19.30%,21.90%,0.469,tt3824950
https://movie.douban.com/subject/26389069/,铁道飞虎,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2404720316.jpg,2016,5.1,55668,4.70%,13.70%,37.40%,21.90%,0.224,tt4687848
https://movie.douban.com/subject/26703844/,掠夺者 Marauders,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2404556021.jpg,2016,5.3,2821,3.60%,8.10%,45.60%,34.20%,0.084,tt3963816
https://movie.douban.com/subject/26869265/,有迹可循,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2403079835.jpg,2016,3,129,0.00%,4.00%,8.00%,20.00%,0.68,
https://movie.douban.com/subject/26711052/,失心者,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2405533771.jpg,2016,3.2,427,0.00%,3.00%,14.90%,22.80%,0.594,
https://movie.douban.com/subject/26608448/,绝对控制 I.T.,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2405285938.jpg,2016,5.2,1894,3.10%,8.90%,46.20%,30.40%,0.114,tt2679552
https://movie.douban.com/subject/26743534/,冒牌卧底,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2402859930.jpg,2016,3.7,917,1.90%,2.90%,19.90%,30.60%,0.447,
https://movie.douban.com/subject/26879060/,情圣,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2409022364.jpg,2016,6.1,68851,6.50%,23.50%,44.90%,17.20%,0.079,tt6398666
